요약	Summary
널리	Widely
속출	Succession
정신이 쏠리다	To be at a loss
무감각	Insensitivity
황단하다	To be bleak
고개	Hill
망각하다	To forget
위험천망하다	To be very dangerous
부작용	Side effect
위험성	Risk
부족함만	Lacking only
하듯이	As if ..
속출하다	To be in succession
더욱	More
화면	Screen
주변	Surroundings
현장 근무	Field work
보행자	Pedestrian
차량	Vehicle
