기원	origin, beginning
기틀	basis, foundation
끈기	patience, perseverance, endurance
나름	in one's (own) way
난리	a fuss, a panic
눈길	attention, interest
능률	efficiency
담보	collateral, security
대우	treatment, (working) conditions
독촉	an urge
동기	a motive, a reason
동향	a trend,  a tendency
말문	one's tongue
망신	shame, humiliation, disgrace
맥락	context
