디딤돌	a steppingstone
뜬구름	drifting clouds
마구잡이	indiscriminate, at random
말꼬리	a slip of the tongue
망상	delusion
무게감	weighty
미궁	a labyrinth
미련	regret, lingering feelings
민원	a civil complaint
민의	the will of the people
밑거름	a foundation
밑바탕	a foundation
바람	a desire
바탕	a basis
발달	development, growth
배경	a background
버릇	a habit
보상	compensation
