기반	a foundation, a base
기세	a force
기우	overcare, unfounded fear
기치	a banner
까닭	a reason
꼬투리	a fault
낌새	an indication, a vibe
논거	a basis of an argument
논쟁	an argument
논점	a point at issue
눈치	wits, sense
단서	a clue
단적	direct
대상	an object, a target
도전	a challenge
동작	a motion, a movement
뒷받침	support
