본보기	an example, a model
부담	a burden
비극	a tragedy
사정	circumstances
살림	housekeeping
상황	a situation
선입견	a prejudice
선택	a choice
성과	a result, an achievement
손질	repair
솜씨	a skill
수고	trouble, hard work
숙원	a long-cherished wish
시각	a point of view
실마리	a clue
심리	a mentality
안목	a discerning eye
안정감	a sense of stability
