가닥	a strand
가치관	one's values
각광	spotlight, limelight
각오	preparedness, determination, resolution
갈등	conflict
갈피	a point, a direction
개발	development
거리낌	hesitation
걸림돌	an obstacle
결손	a loss, a deficit
결실	fruit, fruitation
결핍	a lack, a deficiency
경쟁	a competition
계기	a turning point
궁핍	poverty, destitution
궤변	sophistry
균형	a balance, an equilibrium
극적	dramatic
