융통성	adaptability, flexibility
잡념	useless/idle thoughts
쟁점	an issue
전략	a strategy, a tactic
정책	a policy
존폐	maintenance or abolition
지연	a delay, a postponement
지장	an encumbrance
지천	an abundance
착오	a mistake, an error
추세	a trend, a tendancy
침체	stagnation, recession
침투	penetration, permeation
타협	a compromise
탓	a reason, fault, blame
