상담하다	To give a consultation 
스캐너	a scanner
스캔하다	To make a scan
어떻다	To be how
월급	Monthly salary
저장하다	To save up
종이	paper
지원서	backup
출력하다	To output power
출장	1. a business trip 2. participation 
