마르다	To be thirsty
말라요	Thirsty (polite present)
말랐어요	Thirsty (polite past)
마를 거예요	Thirsty (polite future)
마르니까	Thirsty (question)
말라서	Thirsty (because)
마르면	Thirsty (if)
마르지만	Thirsty (but)
