직접	Directly
추천서	A letter of recommendation
취직	To find a job
필요하다	To need
학기	An academic term
다행이에요	It's nice
잘됐네요	Sounds Great
감상	One's thoughts
동전	A coin
모으다	To gather/collect
믿다	To be believable
심부름하다	To run an errand
치다	To strike/hit/roll like a wave
특별하다	To be special
