일이 생기다	~ happens.
현미경	A microscope 
가루약	Powder medicine 
도통	A headache
물약	Liquid medicine 
바르다	Straight
사귀다	To make friends
설사약	Diarrea medicine
소화제	Digestive
식후	After a meal
알약	Medicine in pill form
용돈	Spending money
죽	Porridge 
증상	Symptoms
진통제	Pain-killer
