모으다	동전, 우표, 영화 표
하다	낚시, 등산, 축구
치다	기타, 피아노, 테니시
타다	자전거, 오토바이, 스케이트
미술 시간	그림, 스케치복, 크레파스
음악 시간	노래, 탬버린, 피아노
체육 시간	농구, 축구, 달리기
떨리다	내일 귀화 시험이 있어서
부럽다	친구가 한국어를 잔해서
외롭다	모두 가고 혼자 남아서
속상하다	시험을 잘 못 봐서
두통	머리가 아파요
배탈	설사를 해요
눈병	눈이 빨개요
치통	이가 썩었어요
