맵다	To be spicy
매워요	Spicy (polite present)
매웠어요	Spicy (polite past)
매울 거예요	Spicy (polite future)
매우니까	Spicy (question)
매워서	Spicy (because)
매우면	Spicy (if)
맵지만	Spicy (but)
