읽기	Reading
잘하다	To be skillful, to do well
찜질방	A sauna
혼자	Alone
색장	Colored paper
벌싸	Already
떠들지	making noise
대회	Contest
하나도	No one
하나만	Only one
갑자기	Suddenly
과학	Science
그동안	This time
그림	Picture
미술	Art
