까다롭다 	To be picky
까다로워요	Picky (polite present)
까다로웠어요	Picky (polite past)
까다로울 거예요	Picky (polite future)
까다로우니까	Picky (question)
까다로워서	Picky (because)
까다로우면	Picky (if)
까다로우면	Picky (but)
