아파트	Apartment
엄마	Mom
이사하다	To move house
이삿짐센터	Movers
주택	House
칸	1. room 2. 36 sqf
편하다	To be comfortable
한욱	Traditional Korean House
화단	A flower bed
꽃을 키우다	Grow Flowers
