가볍다	To be light
가벼워요	Light (polite present)
가벼웠어요	Light (polite past)
가벼울 거예요	Light (polite future)
가벼우니까	Light (question)
가벼워서	Light (because)
가벼우면	Light (if)
가볍지만	Light (but)
