소화 불량	소화가 안 돼요
성격이 좋다	성격이 나쁘다
성격이 급하다	느긋하다
친절하다	불친절하다
성실하다	불성실하다
찹쌀떤	중요한 시험이 있는 친수에게
만년필	졸업하는 동생에게
속옷	첫 월급을 받았을 때 부모님께
금반지	돌을 맞은 아기에게
세제	새로 이사 간 친구에게
