처방전	A perscription
체하다	To have indigestion
치통	Toothache medicine
요통	Backache
눈병	Eye hurts
주사	A shot
닮	similar 
예고하다	To predict
차각 막히다	Traffic jam
지각	late
학부모 소개	PTA introduction
학교생활 안내	Info meeting about school life
전망대	A view point
한옥 마음	A cultural village
수건	A towel
