거리	1. Street 2. Distance
걸리다	1. hang 2. Catch
공놀이	Play ball
낮다	To be low
넓다	To be wide
답답하다	To be narrow, stuff, or cramped
마당	A yard
부동산	Realty
빌라	Villa
씩	At a time/together
