배	Stomach, ship, pear
보이다	To be able to see, to show off
새벽	A sunrise
스케치복	A sketchbook
씩씩하다	To be brave
이해하다	To understand
전통차	A traditional tea
존통찻집	A traditional Dr. Office
준비물	Supplies
참석하다	To attend in person
챙기다	To get oneself ready
처음	The start
체육	Physical training, conditioning 
크레파스	Pastel crayons
탬버린	A tambourine
