규칙	A rule
바꾸다	To exchange 1
교환 하다	To exchange 2
환불하다	To exchange
쓰레기	Trash
일반	Household
담다	To put in
버리다	To throw out
지역	Region
병류	Glass recycling 
페트병류	Plastic recycling
캔류	Can recycling
종이류	Paper recycling
위하다	To do for the good of something
생활	life, existence
먼저	First of all
민간요법	A folk remedy
화상	A burn
대본을 쓰다	Write a script
작가	An author 
연극	Live theater
가수	Singer
광고	An announcement
공연	A public performance
