분실물	a lost article
색깔	color
섬	a bag or sack (bags of rice)
세종대왕	King Sejong
아장아장	toddle
악가	musical instrument
일시	1. one time 2. a short time
저장되다	To be stored in
절	a temple
제목	a subject or a theme
