소지하다	carry (들다/지니다/나르다/가지다/휴대하다/보유하다)
소진하다	exhaust (쇠진하다/탕진하다/없애다)
소통하다	communicate (전하다/전달하다/교신하다/연락을 주고받다)
손꼽히다	one of the best (뛰어나다)
솟다	soar (연기와 같은 물질이나 비행기와 같은 물체가 아래에서 위로
쇠퇴하다	decline (감퇴하다/쇠하다/조락하다/퇴조하다/저락하다)
수군거리다	talk in whispers (속삭이다/수덕이다/쑥덕거리다)
수긍하다	agree (동의하다/수용하다/동감하다)
수립하다	establish (설립하다/정립하다/설렁하다/제정하다/세우다)
수발하다	care for (보살피다/돌보다/시중하다/건사하다/양육하다)
수소문하다	ask around (이리저리 알아보다)
수여되다	be awarded to (상을 받/타다/수상하다)
수용하다	accept (받아들이다/응하다)
수행하다	fulfill (다하다/이행하다/이루다)
순응하다	adapt/adjust oneself (적응하다)
순환시키다	circulate
슬다	rust/get moldy
슬쩍하다	steal (훔치다/빼앗다/도둑질하다)
습득하다	pick up (집다/줍다)
습득하다	acquire (획득하다/취득하다/얻다)
승진하다	be promoted (진급하다/승금하다)
시달리다	suffer (고통받다/당하다/껵다)
시사하다	imply
시행하다	enforce (집행하다/실시하다)
신뢰하다	trust (신임하다)
신장시키다	boost (뿍돋우다/제고하다/진작시키다)
실리다	1.be published/2.be loaded (1.반간하다/출판하다/출간하다)
싫증나다	get tired of
심화되다	deepen (강화되다)
쏠리다	1. focus on/2. lean
