부정하다	deny (부인하다/거절하다/거부하다)
부추기다	incite (사주하다/교사하다)
부풀리다	exaggerate/blow up/inflate (과장하다/오버하다)
부합하다	(formal) coincide with/correspond with (일치하다/해당하다)
북돋우다	encourage (격려하다/조장하다)
북적대다	be crowded (북적거리다/붐비다)
분간하다	distinguish (구별하다/가래다)
분배하다	distribute (배분하다/나누다)
분별하다	differentiate (분간하다/구별하다)
분석하다	analyze (분해하다)
분열되다	break up (갈라지다/갈리다/나누어지다:찢어져 나뉘다.)
분포되다	be spread (산재되다/퍼지다/분산되다)
분화되다	be divided into (into a more complicated classification) (분열되다/나누어지다/갈리다/갈라지다/분리되다:단순하거나 등질인 것에서 복잡하거나 이질인 것으로 변하게 되다.)
불신하다	distrust
불어나다	grow/mount up/inc/rise (상승하다/인상하다/증가하다/커지다/늘어나다)
불허하다	disapprove (반대하다/부인하다/불찬성하다)
붐비다	be crowded (북적대다)
붙다	stick to/pass(an exam)
비기다	to tie (동점을 이루다)
비롯되다	originate from (유래하다/시작되다)
비우다	empty
비유하다	compare (비교하다)
비치되다	be furnished/equipped
비평하다	criticize (비판하다/비난하다/혹평하다)
빗발치다	rain/be flooded with (총알/말/글/소리/주문/전화 등이)
빠져들다	fall into (빠져들다)
빼내다	take out/pick out/bailout/steal (가시/총알/연기 등을...교도소에서.....정보 등을)
빼돌리다	pilfer/embezzle (횡령하다/빼먹다)
뺨치다	outshine
뻗다	reach/extend/stretch/spread/expand (다리/팔/손 등을)
