가닥	strand (올/줄)
가상	imagination (상상/공상)
각오	determination (결심/결정/투지/다짐)
거리낌	hesitation (주저/거침)
걸림돌	obstacle (방해/장애/장해)
격려	encouragement (독려/편달/면려)
견본	a sample (샘플/시료/시식)
결손	deficit (적자/손해/흠결)
결실	fruition (결과/성과/주효/주공열매)
결의	resolution (각오/결심/생각)
결핍	lack (결여/가난/궁핍)
결함	flaw (결점/단점/약점)
계기	opportunity/chance (동기/원인/근거)
고정관념	stereotype (선입견/편견)
고찰	consideration (고려/궁리/배려)
곤경	trouble (말썽/역경/고충)
공로	contribution (공적/기여/기부/공헌/기고)
각광	limelight (주목)
갈등	conflict (대립/분쟁/알력)
갈피	way (방향/일이나 사물의 갈래가 구별되는 어름)
개발	development (발달/성장/발전)
겨를	time (시간/새/팀)
견문	information/experience (식견/지식/정보/제보)
경쟁	competition (다툼/겨룸/대적)
고집	stubbornness (아집/악착/진피/외고집/생억지)
고충	difficulty (괴로움/어려움/곤경/장애)
공모	contest (모집/대결/경연/경쟁)
공모 (not contest)	conspiracy (음모/모의/결탁)
가설	hypothesis (가정/가언)
경향	tendency (성향/추세/기질/풍조)
