,0,1
21,얽히다,be related/be entwined (뒤엉키다/걸려들다)
22,없애다,remove (지우다/없이하다)
23,엎치락뒤치락하다,turn over and over (오낙가락하다/바뀌다)
24,여기다,regard (간주하다/생각하다/인정하다)
25,연계하다,work together (연결하다/연합하다)
26,연상되다,associate
27,연속하다,continue (계속하다/지속하다)
28,연출하다,direct
29,연합하다,combine (결합하다/연계하다/합치다)
0,소지하다,carry (들다/지니다/나르다/가지다/휴대하다/보유하다)
1,소진하다,exhaust (쇠진하다/탕진하다/없애다)
2,소통하다,communicate (전하다/전달하다/교신하다/연락을 주고받다)
3,손꼽히다,one of the best (뛰어나다)
4,솟다,soar (연기와 같은 물질이나 비행기와 같은 물체가 아래에서 위로
5,쇠퇴하다,decline (감퇴하다/쇠하다/조락하다/퇴조하다/저락하다)
6,수군거리다,talk in whispers (속삭이다/수덕이다/쑥덕거리다)
7,수긍하다,agree (동의하다/수용하다/동감하다)
8,수립하다,establish (설립하다/정립하다/설렁하다/제정하다/세우다)
9,수발하다,care for (보살피다/돌보다/시중하다/건사하다/양육하다)
10,수소문하다,ask around (이리저리 알아보다)
11,수여되다,be awarded to (상을 받/타다/수상하다)
12,수용하다,accept (받아들이다/응하다)
13,수행하다,fulfill (다하다/이행하다/이루다)
14,순응하다,adapt/adjust oneself (적응하다)
15,순환시키다,circulate
16,슬다,rust/get moldy
17,슬쩍하다,steal (훔치다/빼앗다/도둑질하다)
18,습득하다,pick up (집다/줍다)
19,습득하다,acquire (획득하다/취득하다/얻다)
20,승진하다,be promoted (진급하다/승금하다)
21,시달리다,suffer (고통받다/당하다/껵다)
22,시사하다,imply
23,시행하다,enforce (집행하다/실시하다)
24,신뢰하다,trust (신임하다)
25,신장시키다,boost (뿍돋우다/제고하다/진작시키다)
26,실리다,1.be published/2.be loaded (1.반간하다/출판하다/출간하다)
27,싫증나다,get tired of
28,심화되다,deepen (강화되다)
29,쏠리다,1. focus on/2. lean
0,내세우다,to assert/claim/put up (a candidate) (내놓다/주장하다/확연하다/단언하다)
1,넘겨다보다,to look[peer] over/covet (넘어다보다/욕기를 부리다/탐내다)
2,넘나들다,to move in and out (드나들다/넘나들다)
3,누리다,to enjoy (즐기다/만끽하다/감상하다)
4,눈여겨보다,watch[observe] (sb) carefully/pay attention (to)/keep an eye (on)/eye (주목하다/관심을 갖다/유의하다/주의를 기울이다)
5,뉘우치다,to regret/repent (후회하다/반성하다/유감하다/원통하다)
6,다그치다,to urge (종용하다/재촉하다/촉구하다)
7,다다르다,to reach (달하다/도달하다/이르다/닿다)
8,다물다,to shut/(hold) one's mouth (닥치다)
9,다스리다,govern/control
10,닥치다,to approach/draw[come] near (도래하다/접근하다/다가오다/다다르다)
11,단장하다,to prene/dress up (가꾸다/꾸미다)
12,단절되다,to be severed/cut off (절단하다/자르다/잘라 내다/끊다/동자르다)
13,단축되다,to be shortened (줄이다/줄어들다/짧아지다)
14,달구다,to heat (뜨겁게 하다/끓이다/데우다)
15,달리하다,to be different (구구하다/다르다/이질적이다/분분하다/색다르다)
16,달성하다,to achieve (이루다/이룩하다/해내다/성취하다/쟁취하다)
17,달이다,to boil (a liquid) down (졸이다/조리다/졸다/졸아들다)
18,달하다,to reach (다다르다/이르다/도달하다/닿다)
19,대두되다,to come to the forefront (어떤 세력이나 현상이 새롭게 나타나다. 머리를 쳐든다는 뜻에서 나온 말이다)
20,대비하다,to be prepared for (준비하다/대처하다)
21,대응되다,to be corresponding (응하다/일치하다/부합하다/해당되다)
22,대처하다,to handle/cope with  (대비하다/다루다/처리하다/상대하다)
23,대체하다,to substitute (교체하다/대신하다/대용하다)
24,대치하다,to confront/stand face to face (with) (대적하다/대립하다/대결시키다/당연하다/대면시키다)
25,더듬다,손으로 feel (around) / retrace (one's memory) (기억하다)
26,덜렁대다,to behave carelessly
27,도달하다,reach (달하다)
28,도래하다,to come/arrive (닥치다/도착하다/내도하다/다다르다/도달하다/달하다/닿다/이르다)
29,도모하다,to promote (촉진시키다/육성하다/장려하다)
0,급등하다,to rise sharply/skyrocket (급증하다/폭등하다)
1,급락하다,to drop sharply/nosedive (폭락하다/곤두박질치다)
2,급변하다,to change suddenly (격변하다/돌변하다)
3,급증하다,to increase rapidly/suddenly (급상승하다/급등하다)
4,기권하다,to abstain (삼가다/피하다/절제하다)
5,기어가다,to crawl (기다/굽실거리다)
6,기여하다,to contribute to (공헌하다/이바지하다)
7,기울다,to lean/go under (쏠리다)
8,기인하다,to arise(result) from/ result from/stem from (말미암다)
9,기탁하다,to donate/deposit (기증하다/기부하다/맡기다)
10,기피하다,to avoid (회피하다/모면하다/막다/방지하다/꺼리다/피하다)
11,꺼리다,to be unwilling (살뚱머룩하다/뜨악하다/피하다)
12,꼽다,to point out (지적하다/언급하다/지목하다)
13,꾸리다,to pack/manage (luggage/a household) (1싸다/챙기다/2다스리다/제가하다/처리하다/당가하다)
14,꾸물대다,dawdle/drag one's heels (어정거리다/꾸물거리다/늑장을 부리다/미적거리다/뭉그적거리다)
15,꿈틀대다,to wriggle (꼼지락거리다/구물거리다)
16,끼얹다,to pour (붓다/따르다//쏟다뿌리다)
17,나무라다,to scold (혼내다/야단치다/꾸짖다/꾸중하다)
18,낙제하다,to fail (실패하다/떨어지다/불합격/미끄러지다/유급하다)
19,낙후되다,to lag (뒤에 처지다/뒤떨어지다)
20,날뛰다,to leap/run wild (설치다/사납게 굴다/야성을 나타내다)
21,날리다,to let fly/win fame/go broke
22,남발하다,to overuse (남용하다)
23,남용하다,to abuse (악용하다/구박하다/학대하다)
24,납득하다,to accept a situation/understand (받아들이다/수용하다/응하다/이해하다)
25,납입하다,to pay (off) [taxes/loans] (갚다)
26,내다보다,to look out of/on/through/foresee
27,내몰다,to drive out (몰아내다/축출하다/내쫓다)
28,내뱉다,to spit out (뱉다)
29,내뿜다,to blow/gush/spout/emit (배출하다/발산하다/사출하다)
0,다채롭다,to be various/multicoloured (눈부시다/호화롭다/찬란하다)
1,단아하다,to be graceful (우아한/우미하다)
2,단조롭다,to be monotonous (변화가 없다)
3,담담하다,to be calm (차분하고 평온하다/덤덤하다)
4,당당하다,to be 1well-built/2honourable (2떳떳하다)
5,덤덤하다,to be flat (expression) (담담하다/묵묵하다)
6,데면데면하다,to be distant/cold (무뚝뚝하다)
7,도톰하다,to be nice and thick (두껍다/두툼하다/넉넉하다)
8,두둑하다,to be ample/plentiful (넉넉하다/풍부하다/풍성하다/푸짐하다)
9,두툼하다,to be thick (두껍다/도톰하다/넉넉하다)
10,드물다,rare 
11,든든하다,reassured
12,따끔하다,to sting/be severe (따가울 정도로 매우 덥다)
13,떳떳하다,to be honourable (당당하다/고귀하다/의연하다/명예롭다)
14,막대하다,to be huge (광대하다/거대하다)
15,막막하다,to be desolate (삭막하다/황량하다/넓다/삭연하다 /아득하다)
16,막연하다,vague
17,만무하다,절대로 없다
18,만연하다,to be prevalent (유행하다/성행하다)
19,머지않다,not too distant
20,메마르다,to be barren (건조하다/척박하다/토박하다)
21,메스껍다,to be sick/disgusting (역겹다/혐오스럽다/아니꼽다/느글거리다)
22,명료하다,to be clear (분명하다/확실하다)
23,못마땀하다,to be displeased (언짢다/불쾌하다/앙앙하다)
24,못지않다,be less than
25,묘하다,mysterious
26,무관하다,unrelated
27,무궁무진하다,infinite
28,무료하다,to be boring (thing) (심심하다/지루하다/재미없다/지겹다/따분하다)
29,무모하다,to be reckless (무분별하다/맹목적인/난폭한/어리석다)
0,무분별하다,thoughtless (몰지각하다/방정맞다/생각이 짧다)
1,무색하다,ashamed (부끄럽다/창피하다)
2,무수하다,countless (무궁무진하다/수없다)
3,무한하다,infinite (무굴무진하다/한없다)
4,뭉뚝하다,blunt (무디다/뭉툭하다)
5,미미하다,slight
6,미세하다,minute (세밀하다/세세다)
7,미지근하다,lukewarm (미적지근하다)
8,미흡하다,insufficient (부족하다)
9,민첩하다,agile (잽싸다/기민하다/재빠르다)
10,밀접하다,close (가깝다/친근하다)
11,바람직하다,desirable (옳다)
12,바르다,straight/upright
13,벅차다,be too much to handle/full hearted
14,번거롭다,cumbersome (거추장스럽다/번잡하다)
15,번듯하다,decent
16,번잡하다,choatic
17,범상하다,ordinary (예사롭다)
18,변덕스럽다,capricious (내치락들이치락하/요사스럽다/도섭스럽다/요망스럽다)
19,변변하다,satisfactory/suitable (적절하다)
20,보잘것없다,trivial (불품없다/사소하다/하찮다/시시하다)
21,볼록하다,bulging (불룩하다/핑핑하다)
22,부단하다,constant (꾸준하다/끊임없다/줄기차다)
23,부유하다,wealthy (풍족하다/유복하다/포실하다)
24,부조리하다,irrational (비합리적/역리의/몰상식하다)
25,분분하다,divergent (구구하다)
26,분주하다,busy (바쁘다/급급하다)
27,불가피하다,inevitable (필연적/부득이하다/면할 수 없다/피할 수 없다)
28,불공정하다,unfair (불공평하다/불평등하다/부당하다)
29,불과하다,nothing more than
0,폭넓다,wide/broad (넓다/광범위하다/해박하다)
1,풍부하다,rich [in]/plentiful (풍성하다/푸짐하다/두둑하다)
2,하찮다,trifling/trivial (사소하다/보잘것없다/시시하다)
3,한없다,infinite (그지없다/무한하다/무궁무진하다)
4,허망하다,vain (허무하다/덧없다/부질없다)
5,허무하다,futile (허망하다/덧없다/부질없다)
6,허술하다,lax (초라하다/어설프다/엉성하다)
7,허전하다,empty (비다/공허하다)
8,허하다,1feeble 2empty (1[연/심]약하다 2공허하다/허전하다)
9,허황되다,be hollow/false/wild (궁글다/텅비다)
10,헐렁하다,loose (헐겁다/느슨하다/헹글헹글하다)
11,험난하다,1dangerous/rough 2steep/rough (1위험하다 2가파르다)
12,헛되다,futile/vain/useless (소용없다/무의미하다/보답없다)
13,헤프다,1wasteful 2[sexually] easy (1헙헙하다 2쉽다)
14,현명하다,wise (슬기롭다/지혜롭다/명철하다)
15,현저하다,remarkable/noticeable (두드러지다/뚜렷하다/특출하다)
16,호들갑스럽다,말이나 하는 짓이 야단스럽고 방정맞다
17,호젖하다,quiet/lonesome (고적하다/한적하다/적적하다)
18,혼탁하다,murky (탁하다/흐리다)
19,홀가분하다,lighthearted (산뜻하다/가볍다/가뿐하다)
20,화목하다,harmonious (조화롭다/평화롭다/단란하다)
21,화사하다,gorgeous (화미하다/화려하다/호화찬란하다)
22,확고하다,firm/adamant (단호하다/과단하다/굳다)
23,후련하다,feel relieved/refreshed (시원하다/개운하다)
24,훈훈하다,warm (따뜻하다/따스하다/열릴하다)
25,휘황찬란하다,glittering (눈부시다/현란하다/오색찬란하다)
26,흐뭇하다,pleased (흡족하다/해낙낙하다/마땅하다)
27,흥겹다,cheerful (즐겁다/쾌활하다/명랑하다)
28,희미하다,dim (어렴풋하다/흐릿하다/어슴푸레하다)
29,희박하다,1밀도가 낮은 2가능성이 적은 (드물다/적다)
0,진지하다,serious (진중하다)
1,질기다,tough (강인하다/억척스럽다)
2,짜릿하다,thrilling (장쾌하다/자릿자릿하다)
3,찌뿌드드하다,1feel unwell/2gloomy (1몸이/2날씨가 흐리다/흐릿하다/끄무레하다)
4,차분하다,calm (침착하다)
5,찬란하다,brilliant (업적이나 빛/태양)
6,참신하다,novel/original (새롭다/기발)
7,처량하다,plaintive/miserable (비참하다)
8,철저하다,thorough (투철하다/철두철미하다/새부적이다/빈틈없다)
9,청명하다,fine/clear (화창하다/쾌청하다)
10,초라하다,shabby (볼품없다/추레하다/보잘것없다/누추하다/허름하다/남루하다)
11,초조하다,impatient (조급하다/성급하다/성마르다/조하다)
12,치밀하다,elaborate (세밀하다/정교하다/요밀하다)
13,치열하다,fierce (격렬하다/강열하다/맹렬하다)
14,침착하다,calm (차분하다)
15,쾌청하다,clear (청명하다/화창하다)
16,쾌활하다,cheerful (유쾌하다/명랑하다/흥겹다)
17,타당하다,appropriate (알맞다/적절하다/온당하다)
18,탁월하다,excellent (우수하다/뛰어나다/훌륭하다/용하다)
19,탁하다,murky (뿌옇다/혼탁하다)
20,탄탄하다,robust (단단하다/딩딩하다/건경하다/강건하다)
21,태연하다,like it's nothing (예사롭다)
22,투명하다,transparent (명백하다)
23,투박하다,rough (거치다)
24,특수하다,special (특별하다)
25,특이하다,unusual (남다르다/이상하다/유별하다/고유하다)
26,특정하다,particular
27,팽팽하다,1tight/taut 2tight/close (2아슬아슬하다/접전)
28,평평하다,flat (평탄하다/편평하다)
29,포근하다,cozy (아늑하다/오붓하다)
0,도배하다,to wallpaper
1,도용하다,to steal/plagiarize (표절하다:남의 물건이나 명의를 몰래 쓰다.)
2,도태되다,to fall behind (뒤처지다:사람·기업이 경쟁에서)
3,독차지하다,to monopolize/hog sth (독식하다/독점하다)
4,돋보이다,to stand out (두드러지다/부각되다/튀다/띄다)
5,돌이키다,to look back/have second thoughts (되돌아보다)
6,(~에) 동감하다,to sympathize (동정하다/공감하다)
7,동원하다,to mobilize (출동시키다)
8,(~를) 동정하다,to sympathize (동감하다/공감하다)
9,(~에) 동참하다,to participate in/join (참가하다/참여하다/가담하다)
10,되새기다,to think back (돌이켜 생각하다/회상하다)
11,되짚다,go back (to)/retrace one's steps/backtrack (to) (방금 왔던 길을)
12,두드러지다,to stand out (드러나다/돋보이다/띄다/튀다/부각되다)
13,둘러싸다,to surround (에워싸다)
14,뒤덮이다,to be covered (덮이다/앉다:빈 데가 없이 온통 덮다)
15,뒤엉키다,to get tangled/intertwine (얽히다)
16,뒤지다,to rummage (뒤적거리다/뒤져내다)
17,뒤척이다,to toss and turn (엎치락뒤치락하다)
18,드나들다,to frequent (a place)/come in and out (자주 가다/출입하다)
19,드러나다,to be exposed (나다/노출되다/두드러지다:가려 있거나 보이지 않던 것이 보이게 되다 2. 알려지지 않은 사실이 널리 밝혀지다 3.겉에 나타나 있거나 눈에 띄다)
20,들뜨다,to be excited/come off (흥분하다/들썽거리다/떨어지다/융기하다: 1. 마음이나 분위기가 가라앉지 아니하고 조금 흥분되다 2. 단단한 데에 붙은 얇은 것이 떨어져 틈이 벌어지며 일어나다)
21,들썩거리다,to feel restless/to rise and fall
