소감	personal comments
소견	opinion (의견/견해)
소란	disturbance (방해)
소망	wish (소원/희원/희망)
소신	belief (신념)
소재	material/subject matter (주제)
속성	attribute (특성/특질)
손길	helping hand
손실	loss (분실/상실)
손질	repair/maintenance (수리/수선)
솜씨	skill (재주/기량/기능/기술)
수거	collection (수집)
수립	establishment (설립/신설)
수면	sleep (잠)
수법	method (방법/방식/수단)
수색	search (검색)
수위	water level
수칙	rule (규정/규칙/규율)
수확	harvest (추수)
숙면	deep sleep (단잠/귀잠)
숙명	destiny (운명/팔자)
숙원	long-cherished desire (소원/염원)
순간	moment (찰나/일순/촌각)
숨통	windpipe/life (숨구멍)
승부	play/match (승패/자웅/판가름)
승산	chance of winning (승운/이길 수 있는 가능성)
시각	point of view/way of understanding (관점)
시련	ordeal (수난/환난/고난)
시름	anxiety (불안/걱정/조바심)
시시각각	moment by moment
