불미스럽다	scandalous/bad/disgraceful/ugly (불미하다)
불순하다	impure/foul (불결하다/불온하다)
불합리하다	irrational/illogical (비이성적이다/비논리적이다)
빈번하다	(too) frequent (잦다/빈발하다)
빈약하다	poor/lacking (형태/내용) (박약하다/부족하다)
빈틈없다	thorough/dense/watertight (철두철미하다/면밀하다)
빡빡하다	stiff/tight/obstinate (빠닥빠닥하다)
뻐근하다	stiff (muscles/body) (빠근하다)
뿌듯하다	proud (자랑스럽다/부듯하다)
사소하다	trivial/insignificant (하찮다)
사치스럽다	luxurious (호사스럽다/고습스럽다)
삭막하다	desolate (황량하다/적막하다)
산만하다	distracted/unfocused (산란하다)
상당하다	considerable (적잖다)
생소하다	unfamiliar (낯선/익숙하지 않은))
서럽다	sad/bitter (원통하다/서글프다/슬프다)
서먹하다	feel awkward (어색하다)
석연하다	feel free from doubt (명확하다)
섣부르다	hasty (서투르다)
섬세하다	delicate/subtle/detailed (미묘하다/세밀하다/세심하다)
성기다	sparse/loose (드문드문하다/성글다)
성대하다	grand/magnificent  (웅대하다/웅장하다/장려하다)
성하다	intact (온전하다)
세밀하다	detailed/minute/elaborate (상세하다/꼼꼼하다/자세하다/미세하다)
세심하다	careful/meticulous (꼼꼼하다/깐깐하다)
소박하다	simple (무구하다/순박하다/수수하다)
소홀하다	remiss/neglect (무시하다/등한하다)
속상하다	upset (괴롭다/썩다/화나다)
수두룩하다	a lot of (많다/흔하다)
수북하다	be heaping full (쌓여 있다)
