과도하다	excessive (심하다/지나치다/과하다)
광대하다	to be vast (광활하다/방대하다/드넓다)
광활하다	to be extensive (광대하다/대대적/광범위하다)
교묘하다	to be skillful (능숙하다/용하다/솜씨 좋다)
구태의연하다	to remain unchanged (여전하다)
굳건하다	to be firm (강건하다/굳다/확고다)
궂다	to be bad (나쁘다/고약하다/못되다)
그렁그렁하다	to be full to the brim (칠렁칠렁하다/넘칠 만큼)
그윽하다	to be mellow (깊숙하다/아늑하다/고요하다)
근접하다	to be neighbouring (인접하다/이웃의/근처의/인근의)
근질근질하다	to be itchy/irritated (근지럽다/근지럽다/가렵다)
급박하다	to be urgent (급하다/시급하다/긴급하다)
기특하다	to be admirable (대견하다/갸륵하다)
긴밀하다	to be close (relationship) (가깝다/절칠하다/밀접하다)
까칠까칠하다	to be sandpapery (거칠다)
꺼림칙하다	to be guilty (찜찜하다/찝찝하다/죄 있다)
끈끈하다	to be strong/firm (끈적끈적하다/깐깐하다)
끈질기다	to be persistent (집요하다/악착같다)
끔찍하다	1terrible/2devoted (1혹독하다/심하다2헌신적)
나약하다	to be weak (약하다/부실하다)
난처하다	to be embarrassing (난감하다/쑥스럽다/멋적다)
냉담하다	cold (attitude) (냉정하다/차갑다/쌀쌀맞다)
냉철하다	to be cool-headed (차분하다/침착하다/냉정하다)
노련하다	to be experienced (능숙하다/경험있다/익숙하다)
누추하다	to be shabby (허름하다/초라하다)
눈부시다	dazzling/bright (휘황찬란하다/현혹적)
느긋하다	to be easygoing (원만하다/소탈하다/여유롭다)
느슨하다	to be loose (헐렁하다/헐겁다)
능청스럽다	to be sly (능글맞다/교활하다/앙큼하다)
능통하다	to be proficient (능숙하다/숙달되다/통달하다)
