무르익다	ripen (농익다/성숙하다)
무산되다	fall through/disperse (분산하다/해산하다/흩어지다)
무시되다	be disregarded (흘시하다/묵살하다)
묵살하다	ignore (무시하다/간과하다)
묵히다	age/leave unused (방치하다/썩히다)
문지르다	rub (비비다)
물러나다	resign/step back (사직하다/사임하다/사퇴하다/퇴사하다)
물려주다	turn over (남기다)
물리치다	beat/defeat (이기다/패배시키다)
뭉치다	make round/unite (unite=결집하다/연합하다)
미화되다	glamorize
밀려나다	be ousted/pushed out
밀어붙이다	push (밀다/떠밀다/밀어내다)
밀어주다	support (지원하다)
바로잡다	straighten/rectify (개수하다/개정하다)
박탈하다	deprive (빼앗다)
반박하다	refute (논박하다)
반영하다	reflect (반성하다/나타내다)
반항하다	defy (저항하다/거역하다/불응하다/항거하다)
반환하다	return (갚다/되돌리다/무르다)
발간하다	publish (펴내다/출판하다/발행하다/간행하다)
발굴하다	excavate (출토하다)
발효시키다	ferment
발휘하다	demonstrate (드러내다/나타내다)
방지하다	prevent (예방하다/막다)
방출하다	release (배출하다/내놓다/뽐다)
방치하다	leave  (방관하다/방기하다)
배다	become accustomed to/permeate
배분하다	distribute (나누다/분배하다)
배설하다	excrete
