수수하다	unpretentious (가식없다)
수월하다	easy (용이하다/손쉽다/쉽다/무난하다)
수줍다	shy (부끄럽다/쑥스럽다)
순박하다	naive (순진하다/천진하다)
순조롭다	smooth (순탄하다/무사하다)
시끌벅적하다	noisy/boisterous (시끄럽다/소란스럽다/떠들썩하다)
신중하다	prudent/careful/cautious (진중하다)
심각하다	serious/grave/severe
쑥스럽다	shy (수줍다/부끄럽다)
쓸데없다	useless/unnecessary (불필요하다/필요없다)
씁쓸하다	bitter (씁쓰레하다/씁쓰름하다)
아기자기하다	charming (매력적이다/매혹적이다)
아담하다	neat/tidy/petite
아랑곳없다	nonchalant (냉담하다/태연하다)
아련하다	faint/dim (희미하다/흐릿하다/아렴풋하다)
안락하다	comfortable (편하다/편안하다)
안쓰럽다	pathetic/feel sorry for (딱하다/가엽다/마음이 아프다/ᄋᄊᄅᄃ)
안이하다	easygoing (느긋하다)
안일하다	complacent/lackadaisical
알차다	fruitful (성과있다/의미있다/유익하다)
암울하다	gloomy/grim (음울하다/어둑어둑하다)
애처롭다	pitiful/sorrowful (가엾다/가엽다/불쌍하다/딱하다)
애틋하다	sad and painful (섭섭하다/애타다/안타깝다)
야릇하다	odd (이상하다/묘하다/미묘하다)
야속하다	feel bitter (전짢다)
얄밉다	cheeky/hate (약빠르다/밉다/가증서럽다)
어김없다	unerring (틀림없다)
어눌하다	inarticulate (떠듬떠듬하다)
어리석다	foolish (둔하다/우매하다/바보같다)
어마어마하다	enormous (엄청나다/굉장하다/기막히다/막대하다)
