도배하다	to wallpaper
도용하다	to steal/plagiarize (표절하다:남의 물건이나 명의를 몰래 쓰다.)
도태되다	to fall behind (뒤처지다:사람·기업이 경쟁에서)
독차지하다	to monopolize/hog sth (독식하다/독점하다)
돋보이다	to stand out (두드러지다/부각되다/튀다/띄다)
돌이키다	to look back/have second thoughts (되돌아보다)
(~에) 동감하다	to sympathize (동정하다/공감하다)
동원하다	to mobilize (출동시키다)
(~를) 동정하다	to sympathize (동감하다/공감하다)
(~에) 동참하다	to participate in/join (참가하다/참여하다/가담하다)
되새기다	to think back (돌이켜 생각하다/회상하다)
되짚다	go back (to)/retrace one's steps/backtrack (to) (방금 왔던 길을)
두드러지다	to stand out (드러나다/돋보이다/띄다/튀다/부각되다)
둘러싸다	to surround (에워싸다)
뒤덮이다	to be covered (덮이다/앉다:빈 데가 없이 온통 덮다)
뒤엉키다	to get tangled/intertwine (얽히다)
뒤지다	to rummage (뒤적거리다/뒤져내다)
뒤척이다	to toss and turn (엎치락뒤치락하다)
드나들다	to frequent (a place)/come in and out (자주 가다/출입하다)
드러나다	to be exposed (나다/노출되다/두드러지다:가려 있거나 보이지 않던 것이 보이게 되다 2. 알려지지 않은 사실이 널리 밝혀지다 3.겉에 나타나 있거나 눈에 띄다)
들뜨다	to be excited/come off (흥분하다/들썽거리다/떨어지다/융기하다: 1. 마음이나 분위기가 가라앉지 아니하고 조금 흥분되다 2. 단단한 데에 붙은 얇은 것이 떨어져 틈이 벌어지며 일어나다)
들썩거리다	to feel restless/to rise and fall
들이닥치다	to drop in without warning (몰려오다/밀려들다/복대기다: 갑자기 바싹 다다르다)
들이마시다	to inhale (흡입하다/빨아들이다/들이쉬다)
들키다	to be exposed/discovered (박각되다/걸리다/드러나다/들통 나다)
등장하다	to appear (나타나다/나오다)
등재하다	to register/record (기록하다/등록하다)
따돌리다	to exclude (배제하다/배척하다)
따지다	to weigh the pros/cons of sth/nitpick (캐묻다)
떨치다	to shake sth off (mentally/physically) (뿌리치다: 세게 흔들어서 떨어지게 하다 2. 불길한 생각이나 명예 욕심 따위를 완강하게 버리다)
