망신	shame/disgrace (무안/오욕/치욕)
망정	nevertheless (그래도/그렇지만)
매듭	an end/conclusion (결론/결말/끝/단정/종료)
매연	exhaust gas (배기가스/배출구)
매출	sales (판매/영업/매상)
맥락	context (문맥/문리)
면모	aspect (측면/양상/단면)
멸종	extinction (소멸/사멸/절명)
명목	title (구실/명칭/명색)
명복	happiness in the next world
명색	title/name/nominal (명목/명목상의)
명성	reputation (명예/평판/명망/정평)
명칭	name (이름/성함/호칭/명목)
모범	role model/example (본보기/귀감)
모순	contradiction (당착/상충)
몫	one's share (역할/책임)
묘미	charm (매력/흡인력)
문명	civilization (개명/문운)
문물	products of culture
문턱	threshold (문지방)
물질	material (재료/원료)
미궁	maze (미로)
미끼	bait/decoy (고기밥)
미덕	virtue (덕/덕목/덕행)
미련	attachment (정/애착/집심)
민원	civil complaint
밑거름	foundation (밑바탕/토대/기초)
밑바탕	basis (밑거름/토대/기초)
바늘방석	a bed of thorns
묵념	silent tribute
