(행사가) 열리다	To hold (an event)
시상하다	To award someone
접수하다	To formerly accept
배포되다	To be distributed
진행되다	To be in progress
참가하다	To participate
간단하다	To be simple
얻다	To gain
모이다	To gather
함성을 지르다	To shout
자부심을 느끼다	To have a sense of pride
실시하다	To accomplish
한가하다	To be free
관심을 가지다	To have an interest
흥미가 생기다	To have an interest 2
무사하다	To be safe
쏟다	To spill
실제로	In reality
선착순	First come, first served
축제	Festival
