장점	Advantage
단점	Disadvantage
하품을 하다	To yawn
밤을 세우다	To stay up all night
절약하다	To conserve
배달되다	To be delivered
놓치다	To miss
넘다	To exceed
자랑하다	To boast
팔리다	To be on sale
후련하다	To be relieved
다양하다	To be diverse
자꾸	Continuously and often
몹시	Very
종종	Occasionally
주로	Often
꽤	Extremely
