짜중(이) 나다	To be annoyed
몸이 무겁다	To be sluggish
좌우되다	To be dependent on
생쾌하다	To be cool and nice
습도가 높다	To have high humidity
안개가 끼다	To be foggy
확률이 높다	To have a high probability
일교차가 크다	To have a big range
올라가다	To rise up
내려가다	To go down
지치다	To be exhausted
뚜렷하다	To be distinct
대개	Usually
늘	Always
상태	Condition
한여름	Mid-summer
한낮	Mid-day
한겨울	Mid-winter
한밤	Mid night (2am-4am)
홍수가 나다	To flood
꽃샘추위	Last cold spell
호우주의보	Torrential rain warning
장마가 지다	Rainy season to begin
단풍이 (물) 들다	To turn red and fall
낙엽이 (떨어)지다	A tree to shed its leaves
태풍이 오다	To have a typhoon coming
건조하다	To be extremely dry
번개	Lightening
불쾌지수	Uncomfortably hot
최저 기온	lowest temperature
최고 기온	Highest temperature
화창하다	To be clear
고온다습하다	To be hot and humid
선선하다	To be cool and refreshing
쌀쌀하다	To be chilly
한파가 오다	To have a cold spell coming
칼바람	Piercing wind
천둥	Thunder
삼한사온	3 cold days and 4 hot days
후텁지근하다	To be humid 2
질투	To be jealous
풀리다	To clear up
무덥다	To be humid
서늘하다	To be chilly
포근하다	To be mild
강추위	Bitter cold spell
영상 통화	Video call
황사	Yellow dust
반짝 추위	Sudden cold spell
비가 내련 후 (갬)	To stop raining
천둥번개	Thunder and Lightening
사흘 동안	For four days
한 동안 비 없음	To not have rain for a while
한 때 비	To rain once
개다	To cease
전국	Nationwide
바람 쐬다	To have a cool breeze
긴 옷	Long clothes
유채꽃	Rape blossoms
김장하기	To make kimchi
해수육	Bathing in the sea
단풍 놀이	To view autumn leaves
김치를 담그다	To make kimchi 2
비성수기	Seasonal prices
벚꽃 놀이	To view cherry blossoms
새우축제	Shrimp festival
새우철	Shrimp season
성수기	Peak festival
꽃게철	Crab season
