경기(를) 하다	To have a game
응원(을) 하다	To cheer
이기다	To win
승리(를) 하다	To win 2
지다	To lose
패배(를) 하다	To lose 2
잠을 설치다	To be unable to sleep
대단하다	To be great
골을 넣다	To score a goal
지켜보다	To watch with interest
긴장을 풀다	To relax
한턱(을) 내다	To pay for someone
마주 보다	To face each other
굶다	To go hungry
남기다	To leave behind
후회하다	To regret
교포	Overseas Korean
전반전	First half
후반전	Second half
연장전	Extra time
결승전	Final match
줄결승전	Semi final match
노력	Effort
성공	Success
양념	Seasoning
품질	Quality
포기하지 않는다 	To not give up
국가	National Anthem
국가	Nationality
악마	The Devil
결승	Final play off
승리자	Winner
승부차기	Penalty shoot-out
아시아	Asia
응원단	Cheering squad
청소년	Teenager
후회	Regret
붉다	To be scarlet or red
