참석(을) 하다	To attend
기대(가) 되다	To look forward to
손질(을) 하다	To repair
입장(을) 하다	To enter
대접하다	To serve
소문을 내다	To spread a rumour
그립다	To feel homesick
하객	Guests
주례	Officiant
폐백	Traditional ceremony to pay respect to bride groom's parents
피로연	Reception
모처럼	For a change
유난히	Particularly
예식장	Wedding
대기실	Waiting room
축의금을 내다	To give a monetary gift
신혼여행을 떠나다	To leave on a honeymoon
국수를 대접하다	To serve noodles
신부 대기실에서 기다리다	To wait in the bride room
신랑과 신부가 입장을 하다	To be bride and groom
머리 손질을 하다	To have one's hair done
주례사를 듣다	To listen to the officiant
서원하다	To take a vow
섭섭하다	To be disappointed
폐백 의상	폐백 clothing
대추	Jujube
함	Box of wedding gifts sent by groom
상견례	Meeting between families of bride and bridegroom
혼수	Furnishings bought by bride
예물	Wedding gift
채단	Skills
오방주머니	Money bags given by bridegroom
원앙새	Ornamental mandarin ducks
혼서	Marriage letter from bride family to groom family
이바지	Food made by groom's family
시어머니	Husband's mother
시아버지	Husband's father
시댁	Husband's family's home
장모님	Wife's mother
장인어른	Wife's father
처가	Wife's family's home
신부	Bride
신랑	Groom
생일 찬지	Birthday Party
촐업식	Graduation Party
자연스럽다	Naturally
맛선을 보다	Marriage Meeting
아이를 기르다	Raise a child
마니또	Secret friend
옷고름	Breast tie
포장지	Wrapping paper
묶다	Tie
비닐	Vinyl
상자	Box
테이프	Tape
가위	Scissors
칼	Knife
풀	Glue
