조사하다	To investigate
검색하다	To search
보여주다	To show someone
(컴퓨터에) 치다	To use a computer
클릭하다	To click
지각하다	To be late
떠들다	To talk
졸다	To doze off
벼락치기를 하다	To study at the last minute
특히	Especially
겨우	Barely
한참	Long time
등	Ranking
