무관심하다	To be indifferent
마음에 들다	To be to one's liking
싸우다	To fight
다투다	To argue
화해하다	To reconcile
전하다	To deliver
사소하다	To be petty
사이가 멀어지다	To grow apart
참다	To endure
표현하다	To express
확인하다	To confirm or check
줄어들다	To reduce
용기를 잃다	To lose courage
(눈을) 감다	To close one's eyes
(눈을) 뜨다	To open one's eyes
통	Not at all
