놓다	To put something on
길눈이 어둡다	To have no sense of direction
고생(을) 하다	To work hard
눈물이 나다	To have tears come
복사(를) 하다	To copy
헤매다	To wander
들다	To lift
환호(를) 하다	To cheer
짓궂다	To be mischevious
발표문	Statement
자신(감)	Confidence
매번	Everytime
제시간	Scheduled time
