맞벌이를 하다	To have dual income
나누다	To divide
늘다	To increase
키우다	To raise, grow
살림을 하다	To run a house
바뀌다	To be changed
고용하다	To employ
해고(를) 당하다	To be laid off
집중이 되다	To concentrate
챙겨 먹다	To not skip meals
닮다	To resemble
서서히	Steadily
번갈아	Alternately
친정	Maternal side
시댁	In laws
실용적	Practical
취하다	To wobble whilst drunk
벤치	Bench
과음하다	To overdrink
욕하다	To curse
연애하다	To date
추억이 있다	To have memories
