사회자	host, moderator, MC
동호회	club
-에 참석하다	to attend (& just watch) -
신입 회원	new member
가입 동기	motivation/reason for becoming a member
망설이다	to hesitate
생활에 변화를 주다	to bring a change to one's routine
가입하다	to sign up, join (esp. clubs or services that require membership)
마음이 통하다	to understand (each other)
국어국문학과	Korean language and literature department
정보를 얻다	to get information
제대하다	to be discharged from the army
씩씩하다	to be spirited, full of vigor
저렴하다	to be affordable, inexpensive
시급	hourly wage
사회를 맡다	to host/moderate an event, to be MC
앞으로 나오다	to come to the front
경험을 쌓다	to gain experience
들르다	to stop by, to visit
뽑다	to pick, to choose, to elect
진행을 하다	to conduct (a meeting)
잘하기는요. 아직 멀었어요.	I'm not that good. I still have a long way to go (modestly responding to a compliment)
부족하니까 많이 도와주세요.	~ I have a lot to learn so please help me a lot. (modest expression used when joining a group)
돌아가면서 소개를 하다	take turns introducing (people in a group)
-이라고 불러 주세요.	Please call me -.
-고 싶은 마음이 생기다	to get the urge to (do -)
정확하다	to be accurate, precise
동호회 신고식	induction ceremony, group meeting for introducing new members
마음의 여유를 찾다	to find peace of mind
도보 여행	walking trip
구석구석	in every nook and corner, everywhere
공지되다	to be announced to the public
입금하다	to make a deposit
연 1회	once a year
정기 모임	regular meeting (of a group)
정보를 나누다	to share information
-에 참여하다	to participate in, take part in -
함께하다	to be together, to share (an experience)
-을 중심으로	centering on, focusing on (-)
하나가 되다	to become one, to be united
초보자	beginner, novice
도전하다	to challenge, to attempt
즐기다	to enjoy
전문가	expert, specialist, professional
기본적	basic, fundamental
-는 시간을 갖다	to spend time (doing -)
방문하다	to visit (a place)
맛을 보다	to taste, to try (food)
번개 모임	spontaneous meeting
모임을 갖다	to hold a meeting, to gather together
뜨거운 관심을 갖다	to be passionate about, to be very interested in
인생	(one's) life
사물놀이	a traditional form of music played on four percussion instruments
타악기	percussion instrument
마련하다	to raise (funds), to prepare necessary items
기초	the basics, the fundamentals
오지	the wild, a remote area
소똥	cow dung
전국	around the country, nationwide
-에 머무르다	to stay, to be put up - (when travelling)
긴급 구호가	emergency aid worker
벌레	bug
-을 모으다	to gather together, to bring together
말라리아	malaria
건강 관리	taking care of one's health
독하다	to be strong, potent (taste or smell; alcohol, medicine..)
여행 경비	travel expenses
이동하다	to move from one place to another
목적지	destination
태워주다	to give (someone) a ride
장의차	hearse
10일 이상	more than 10 days
신문에 나다	to appear in the newspaper
계기	opportunity, chance (when explaining how one ended up doing something)
난민촌	refugee camp
-을 살리다	to save -someone's life
도움을 구하다	to seek help
마음먹다	to make up one's mind
삶	life
사는 방식	the way one lives, lifestyle
